,tweets,words,
21755," Love watching #themindyproject  Funny, edgy...characters that work. + they got a British doctor. #Winning",love watching #themindyproject funny edgycharacters british doctor #winning,can'tsay
21756," @MadmanInAFez \YOUR INTERESTS ARE OF NO MAT-TER.\"" they reply again",matter reply stopping doctor front casket maybe feet,can'tsay
21758," @ThatKrazyGal YOU NEED A HOSPITAL,  I here they also have spare ovaries in that ward",hospital spare ovaries ward,can'tsay
21760, Convicted Abortion Doctor Avoids Death Penalty http://t.co/w5MoipcuKG,convicted abortion doctor avoids death penalty,can'tsay
21761, @BlainersMomC *Doctor thanks you then leaves*,doctor thanks leaves,can'tsay
21762, Shithead mother fucking Honda civic old man driver if I ever catch him on the road again he is going to the hospital or grave! Crazy driver!,shithead mother fucking honda civic driver catch road hospital grave crazy driver,can'tsay
21763," Attended reinterment ceremony at Old Eastern State Hospital, now BCTC campus. Caring, simple, thoughtful.",attended reinterment ceremony eastern hospital bctc campus caring simple thoughtful,can'tsay
21764, What's your best Doctor Who joke? #FeelingPunny #YesImBored,whats doctor joke #feelingpunny #yesimbored,can'tsay
21769," Dr. Gosnell waves right to appeal, avoids death penalty.  Will get life in prison for murder, other charges. http://t.co/XZ6T8xtq9a",dr gosnell waves appeal avoids death penalty life prison murder charges,can'tsay
21772, Going to see Rachel in the hospital??? https://t.co/TNU2kL4OBp,rachel hospital httpstcotnu2kl4obp,can'tsay
21777, I wonder if Doctor Brown is still playing The Junction. It'd help if the fucking website worked,wonder doctor brown playing junction itd help fucking website,can'tsay
21785, i just got back from the hospital,hospital,can'tsay
21789, @TOTALCARNAGEUK @ThisRihannaFan  yeah i feel bad for carnage and ririlildiamond especially carnage is in hospital need be corncern,yeah feel bad carnage ririlildiamond especially carnage hospital corncern,can'tsay
21817, Key-Key Complaining To Twitter About These Headache She Having When She REALLY Need To Get Up &amp; Go To A Doctor !,keykey complaining twitter headache doctor,can'tsay
21824, I want a Doctor Who tattoo.,doctor tattoo,can'tsay
21825, Good to see that there will be medical ethics input to #oireachtas #abortion hearings next week,medical ethics input #oireachtas #abortion hearings week,can'tsay
21835," Final t-shirt design for the charity run for my beautiful niece and for the great ormond street hospital, please... http://t.co/wqOgB6v8FU",final tshirt design charity run beautiful niece ormond street hospital please,can'tsay
21837," @HazRaz in India! So bad.She went to hospital for dehydration,they injected her without consent and killed her.Then harvested her organs! :(",india badshe hospital dehydrationthey injected consent killed herthen harvested organs,can'tsay
21845," After 3 weeks,he was out of hospital and after 8 months I was out of jail. Another lucky stroke.",weekshe hospital months jail lucky stroke,can'tsay
21851, \@cnnbrk: Life in prison for Kermit Gosnell,life prison kermit gosnell abortion doctor convicted murder,can'tsay
21859, He's the guy that decided hanging with his boys was more important than taking you to see my brother in the hospital,hes guy decided hanging boys taking brother hospital,can'tsay
21869," @PureBEAUTY_19 I been to the doctor, eye doctor,  and emergency room already but I'm going to my doctor either this week or Tuesday",doctor eye doctor emergency doctor week tuesday,can'tsay
21881, One of the best back workouts iv ever had and on the last rep of the day pull my back and now I'm getting my protein shake on a medical bed,workouts iv rep day pull getting protein shake medical bed,can'tsay
21885, Myspace: Died a couple of years ago. Facebook: In the hospital. Twitter: At the club throwing ones at big booty strippers.,myspace died couple ago facebook hospital twitter club throwing ones booty strippers,can'tsay
21886, Surgery teacher n his wife (she teaches pathophysiology) they are so cute..and really smart.Their baby will be a Genius.N a medical Prodigee,surgery teacher wife teaches pathophysiology cuteand smarttheir baby geniusn medical prodigee,can'tsay
21893, Couldn't think of anything worse than going hospital tomorrow??,worse hospital tomorrow,can'tsay
21895, Preparing For An Appointment With A New Doctor - Living With Narcolepsy - Online Support Group http://t.co/x8jRJB3QzD,preparing appointment doctor living narcolepsy online support,can'tsay
21897," Boy, you're like my doctor,  When I'm sick, you always stitch me up RT @Justinismy1D boy you're like an elevator cuz you always pick me up",boy doctor sick stitch boy elevator cuz pick,can'tsay
21907, @FunkyPrawn hospital? Good luck. Go easy on the water....,hospital luck easy water,can'tsay
21911, Parents sue S.C. hospital over child’s gender assignment surgery http://t.co/FCXq7dMxN6,parents sue sc hospital child’ gender assignment surgery,can'tsay
21929, Misdiagnosis is leading cause of medical malpractice lawsuits http://t.co/WDgEcZEngv,misdiagnosis leading cause medical malpractice lawsuits,can'tsay
21931, 4 hours and counting at the hospital. Help.,hours counting hospital help,can'tsay
21937, So I finally leave the hospital &amp; the guy from the insurance dept is texting my phone b4 I even hit the parking garage,finally leave hospital guy insurance dept texting phone b4 hit parking garage,can'tsay
21942," Nurse Manager = STAFF RN-ICU (30088) at Allen Hospital (Waterloo, IA)  http://t.co/VA48lAX1vQ",nurse manager staff rnicu allen hospital waterloo ia,can'tsay
21961, @couscous21 get a new doctor #stat,doctor #stat,can'tsay
21988," @SarahJLA Thank you! :-) I just want to eat, sleep and watch Doctor Who now.",thank eat sleep watch doctor,can'tsay
21998, My frog i cut open ima doctor aha ish stink tho http://t.co/TWmfRJKNVV,frog cut ima doctor aha ish stink tho,can'tsay
22002, Need some kind of doctor to fix all my night-time pains in my back :(,doctor fix nighttime pains,can'tsay
22003, the hospital's wifi blocks tumblr lol kill me,hospitals wifi blocks tumblr lol kill,can'tsay
22012," @mattmc0714 I used to tell people Chad had \graduated from medical school\"" cuz I couldn't stand to admit he was a dr. #inferioritycomplex""",tell people chad graduated medical school cuz stand admit dr #inferioritycomplex,can'tsay
22015, Off to the hospital??????,hospital,can'tsay
22019," Top story: My Medical Choice http://t.co/Vro4WUF4Dc, see more http://t.co/lWQkYwgHom",top story medical choice,can'tsay
22029," The weather says that we are suppose to have a storm Saturday, if my tv messes up while I'm watching Doctor Who, I will be very upset",weather suppose storm saturday tv messes watching doctor upset,can'tsay
22043, I'm tweeting while this doctor is trying to tell my what i'm sick with,tweeting doctor trying tell sick,can'tsay
22059, Guide to Philadelphia abortion doctor murder case http://t.co/hQTF9lQnH7,guide philadelphia abortion doctor murder,can'tsay
22062, How effective the OSCE assessment is in medical education - Helium http://t.co/aGKunEeKKY,effective osce assessment medical education helium,can'tsay
22072, Can't believe my little brother is away to the hospital.Poor wee soul!,ca believe little brother hospitalpoor wee soul,can'tsay
22074," came back from the doctor, fed 4 of our dogs now gonna relax",doctor fed dogs gonna relax,can'tsay
22084," Hot in Fashion: My Medical Choice http://t.co/hnNIrpHCUF, see more http://t.co/Sy6sbxTvTT",hot fashion medical choice,can'tsay
22092, Been at this hospital for 10 hours &amp; I'm finally seeing my dad,hospital hours finally seeing dad,can'tsay
22099, OBAMA CARE WHAT EVERY EMPLOYER AND DOCTOR NEEDS TO KNOW.  Attend one of our free seminars.  GO TO http://t.co/DllTJ3DSi5 TO LEARN MORE!,obama care employer doctor attend free seminars learn,can'tsay
22100," »  sending a shiver through my spine. I pull myself back up onto the bed, reach over and grab me the socks the hospital »",sending shiver spine pull onto bed reach grab socks hospital,can'tsay
22145, Myspace: Died a couple of years ago. Facebook: In hospital. Twitter: At club throwing ones at big booty strippers.,myspace died couple ago facebook hospital twitter club throwing ones booty strippers,can'tsay
22147, Convicted ‘House Of Horrors’ Doctor Kermit Gosnell Will No Longer Face Death Penalty http://t.co/1QZhQeUvEj,convicted ‘house horrors’ doctor kermit gosnell death penalty,can'tsay
22152, No death penalty for abortion doctor http://t.co/mq7386VJB6,death penalty abortion doctor,can'tsay
22157," 01-Alstead, MEDICAL - HILL RD, ALSTEAD http://t.co/9eXCYCM4UU",medical hill rd alstead,can'tsay
22160, No death penalty for abortion doctor http://t.co/3B6MPrsP6q,death penalty abortion doctor,can'tsay
22163, No death penalty for abortion doctor http://t.co/6TQUBdhRKa,death penalty abortion doctor,can'tsay
22165, Convicted Abortion Doctor Avoids Death Penalty http://t.co/zHK2ETQv7a,convicted abortion doctor avoids death penalty,can'tsay
22169, No death penalty for abortion doctor http://t.co/SZAZj44BhX,death penalty abortion doctor,can'tsay
22170, No death penalty for abortion doctor http://t.co/DoeTywNzOs,death penalty abortion doctor,can'tsay
22172, Convicted Abortion Doctor Avoids Death Penalty http://t.co/RZ4ChDRVkg,convicted abortion doctor avoids death penalty,can'tsay
22175, Convicted Abortion Doctor Avoids Death Penalty http://t.co/kNyCvv4YS3,convicted abortion doctor avoids death penalty,can'tsay
22190, RT @DailyOXFORD: OXFORD: Angels descend hospital walls for charity http://t.co/1mjjiabLLw #Oxon,oxford angels descend hospital walls charity #oxon,can'tsay
22196, DTN USA: No death penalty for Philadelphia abortion doctor in deal with prosecutors: PHILADELPHIA (Reuters) - ... http://t.co/btvf6wHdOB,dtn usa death penalty philadelphia abortion doctor deal prosecutors philadelphia reuters,can'tsay
22200, @danikm ill talk to her son. he wants to be a doctor.. maybe he can help.,ill talk son doctor maybe help,can'tsay
22214, No death penalty for Philadelphia abortion doctor in deal with prosecutors: PHILADELPHIA (Reuters) - A Philade... http://t.co/z7as1tFKR5,death penalty philadelphia abortion doctor deal prosecutors philadelphia reuters philade,can'tsay
22229, @LipsOnLock Im  At The Eye Doctor Babe! You ?,im eye doctor babe,can'tsay
22238," \@abubakar47i: The set of army that'd go to a Teaching Hospital and beat Doctors to comma...\"" #wrong",set army thatd teaching hospital beat doctors comma #wrong police army,can'tsay
22240," he / she that's only one ft in the brothel, provides the other sorts of in the hospital.: the particular german dialect proverb",thats ft brothel provides sorts hospital particular german dialect proverb,can'tsay
22265, my gma went BACK to the hospital :/,gma hospital,can'tsay
22274, @CallmeMD242 bbl gern to the hospital,bbl gern hospital,can'tsay
22279, i thought the hospital lights went out,hospital lights,can'tsay
22290, Rumor has it that there is a bomb threat at the hospital right across the parking lot from me. Swat teams have the road blocked off.,rumor bomb threat hospital parking lot swat teams road blocked,can'tsay
22291, @MIKAAAH_7 @reidBye I HATE BEING SICK GUYS!!! GAAHH! I'm going to the doctor today. -_-,hate sick guys gaahh doctor,can'tsay
22294, Fun fact my 5 month old likes Doctor Who. She cries when I turn it off. #likemotherlikedaughter,fun month likes doctor cries #likemotherlikedaughter,can'tsay
22308, @HummelGaga *stroke your cheek slightly* who says you need meds maybe the doctor says my kisses are enough..,stroke cheek slightly meds maybe doctor kisses,can'tsay
22322," Conversation with my Doctor: \Yeah it sounds like a torn meniscus\"" \""Yeah well sounds like you're a bitch\"" \""What\"" \""What\""""",conversation doctor yeah sounds torn meniscus yeah sounds bitch,can'tsay
22323," @Scatterfelt I know what I see daily in people with heart failure. Increase  Na Intake, increases water retention, buy hospital stay.",daily people heart failure increase na intake increases water retention buy hospital stay,can'tsay
22327, WICKEDNESS: ABORTION DOCTOR CONVICTED FOR KILLING 3 BABIES BORN ALIVE,wickedness abortion doctor convicted killing babies born alive,can'tsay
22330, I'm so tired. Not revised. Grandma's in hospital. And I won't be home for hours yet -.-,tired revised grandmas hospital wo home hours,can'tsay
22342, ABC News: Convicted Abortion Doctor Avoids Death Penalty http://t.co/zxLlesQ5eg #news,abc news convicted abortion doctor avoids death penalty #news,can'tsay
22367," @NdotWatson lmao i wore him out, walmart, wendys, warick mall, hospital! he was mad cus i told him no more coffee story haha",lmao wore walmart wendys warick mall hospital mad cus told coffee story haha,can'tsay
22368, You used to make me feel so good like I was on top of the world Im sorry that I gotta stay away from ya but thats what the doctor preferred,feel top world im sorry gotta stay ya thats doctor preferred,can'tsay
22371, @Frankie_Holmes2 just try to bandage it as good as you can. And if the bleeding won't stop you need to got to a doctor.,try bandage bleeding wo stop doctor,can'tsay
22383, @KaytlinBugg ya tomorrow I have to get my bandages changed again by the doctor yay I might be back on Friday,ya tomorrow bandages changed doctor yay friday,can'tsay
22435," “@ShellxoxKristen: My doctor and I are on first name basis, I'm in here way too much” AIDS will do that to ya #heardthat",doctor name basis aids ya #heardthat,can'tsay
22446," I posted 16 photos on Facebook in the album \7.13 - The Name of the Doctor\"" http://t.co/zUOk2irjnS""",posted photos facebook album name doctor,can'tsay
22449," Never KISS a lady police, She will say, Hands up. Never KISS a lady doctor, She will say, Next please. Never KISS... http://t.co/q9K4bwnRnq",kiss lady police hands kiss lady doctor please kiss,can'tsay
22450, When cillian told the teacher that chris was in hospital for having a chode omg hahahahahhahahaahhahaha,cillian told teacher chris hospital chode omg hahahahahhahahaahhahaha,can'tsay
22464," Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty - @AP http://t.co/PBbWCzpyiY",abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
22465, Convicted Pennsylvania abortion doctor avoids death penalty: Dr. Kermit Gosnell gives up his right to appeal and... http://t.co/UeuA4S8pwt,convicted pennsylvania abortion doctor avoids death penalty dr kermit gosnell appeal,can'tsay
22470, Hospital food sucks! Someone bring me mcdonalds!,hospital food sucks bring mcdonalds,can'tsay
22475, NBC News US: Abortion doctor Kermit Gosnell spared death sentence Former... http://t.co/rqFzyj2TYR via http://t.co/OQeHDepplk,nbc news abortion doctor kermit gosnell spared death sentence former via,can'tsay
22478, Children taken to hospital following Old Bridge school bus accident http://t.co/6l3vdg0ral via @MyCentralJersey,children hospital following bridge school bus accident via,can'tsay
22487, The fellow worker at my hospital lol http://t.co/mL8ztPFJ8y,fellow worker hospital lol,can'tsay
22491," “@BitchyCuntx: Did anyone bring a doctor's note in #BGC9 ?” Supposely \Rima\"" .""",bring doctors note #bgc9 supposely rima,can'tsay
22505," Everyone please pray for my mommy, she went to the hospital with excruciating pain",please pray mommy hospital excruciating pain,can'tsay
22506," Why do pro-life ppl 90% support death penalty, isn't that pro-death “@secupp: Gosnell will not face death penalty http://t.co/0AEog8dYcl”",prolife ppl support death penalty prodeath gosnell death penalty,can'tsay
22507, Hospital here I come.,hospital,can'tsay
22513, @NFPaccounts business-but part-time as i don't earn enough. haven't been working recently as i'm in hospital but hope to get back to it asap,businessbut parttime earn recently hospital hope asap,can'tsay
22515, CAYUGA MEDICAL CENTER -  http://t.co/gOBUrmOxos #nowplaying #listenlive,cayuga medical center #nowplaying #listenlive,can'tsay
22531, Love getting a call from my doctor informing me that I have a stomach infection???? #explainsalot,love getting call doctor informing stomach infection #explainsalot,can'tsay
22553, No bitch I'm a doctor,bitch doctor,can'tsay
22554, I'm watching Doctor Who (1276 are watching) http://t.co/sm8j6I34K5 #GetGlue @bbcdoctorwho,watching doctor watching #getglue,can'tsay
22556," @HeyAndge hey guy, I'm no doctor but one more set of that and u can kiss playin kanjam goodbye for the rest of ur life",hey guy doctor set kiss playin kanjam goodbye rest ur life,can'tsay
22557, I need to make another appt. with my doctor??,appt doctor,can'tsay
22563," @sheathesplease i thought you meant the Doctor, oops",meant doctor oops,can'tsay
22571, MOLLY'S WATCHING DOCTOR WHO I'VE NEVER BEEN MORE PROUD OF HER,mollys watching doctor proud,can'tsay
22592, Posted by Dr Carolyn Dean - an accomplished medical and holistic doctor. Regarding today's news that Angelie... http://t.co/ttosGeHemb,posted dr carolyn dean accomplished medical holistic doctor regarding todays news angelie,can'tsay
22593," I'm calling my dog Doctor Bedhew, the name form of DTCRBDHW",calling dog doctor bedhew name form dtcrbdhw,can'tsay
22595, Children taken to hospital following Old Bridge school bus accident http://t.co/pQhLXFPMTB,children hospital following bridge school bus accident,can'tsay
22613," you need a doctor baby, you scared ? ?",doctor baby scared,can'tsay
22614," @avaguearchive thanks :) Im sure they'll sort it eventually, I just need to find a doctor who'll actually listen to what I'm telling them :/",thanks im theyll sort eventually doctor wholl actually listen telling,can'tsay
22615, RT @chadfordinsider: Here's the first confirmed pull out. Duke's Mason Plumlee won't do drills.  Just athletic &amp; medical testing +...,heres confirmed pull dukes mason plumlee wo drills athletic medical testing,can'tsay
22619, 2 hours in A+E and still not seen a doctor come on now,hours ae seen doctor,can'tsay
22623, Libya: At least 15 killed in car bomb attack outside Benghazi hospital http://t.co/tVkdi4HfO5,libya killed car bomb attack outside benghazi hospital,can'tsay
22633, @NHAparty you should see what's happening to Weston General hospital in north Somerset. Up for grabs already,whats happening weston hospital north somerset grabs,can'tsay
22634, Photoset: My fave Doctor. Always and forever!  (Have I mentioned that before? *g*) http://t.co/mnYJvFFfVJ,photoset fave doctor forever   mentioned,can'tsay
22651," MY APPOINTMENT WAS 45 MINUTES AGO, GET YOUR STUFF TOGETHER DOCTOR. ??",appointment minutes ago stuff doctor,can'tsay
22654, Í finish from the gym and now my grandma's in the hospital. SMH. Bad timing,í finish gym grandmas hospital smh bad timing,can'tsay
22665," A Columbia couple is suing the Medical University of South Carolina, Greenville Hospital System and the S.C. Department of Social Service..",columbia couple suing medical university south carolina greenville hospital system sc department social service,can'tsay
22669," Regardless of your feelings about abortion, let's not confuse #gosnell with thousands of safe, sane, legal medical professionals.",regardless feelings abortion confuse #gosnell thousands safe sane legal medical professionals,can'tsay
22672," Going to the doctor to see if i have a concussion......fun stuff. place <tweepy.models.Place object at 0x0291F6F0> coordinates {u'type': u'Point', u'coordinates': [-96.2950734, 30.5677057]}",doctor concussionfun stuff,can'tsay
22673, No death penalty for Philadelphia abortion doctor in deal with prosecutors http://t.co/42AgTwnnEi,death penalty philadelphia abortion doctor deal prosecutors,can'tsay
22695, @trizzytrev I still need my doctor to sign a paper before I can do any athletic activities,doctor sign paper athletic activities,can'tsay
22700, I hate when ur at the hospital and it takes forever for u to get seen by the doctor,hate ur hospital takes forever seen doctor,can'tsay
22705, Abortion Doctor Gosnell Avoids Death Penalty http://t.co/IoAXz7JNEn,abortion doctor gosnell avoids death penalty,can'tsay
22710, Bonding with the receptionist at the eye doctor over my Game of Thrones shirt.,bonding receptionist eye doctor game thrones shirt,can'tsay
22714, Convicted Abortion Doctor Avoids Death Penalty http://t.co/NTB7cP0WUZ,convicted abortion doctor avoids death penalty,can'tsay
22715, at the hospital again.,hospital,can'tsay
22722, @MLolderandwiser I have an amazing medical team who explained the fors and against then I looked at my kids. The decision 4 me wasn't hard x,amazing medical team explained fors looked kids decision hard,can'tsay
22724, So many season finales. I can't even. I finally saw the mother and is Kate gonna say yes and the brochesters and doctor WHO?,season finales ca finally mother kate gonna brochesters doctor,can'tsay
22726, My brother deleted the last Doctor Who episode before I could watch it......,brother deleted doctor episode watch,can'tsay
22729, I would rather say I'm fine than go to the hospital and not see you for like three days,fine hospital days,can'tsay
22736, So happy to see that sick doctor got life in prison and not the death penalty because he will be the main bitch there! Haha,happy sick doctor life prison death penalty main bitch haha,can'tsay
22748, #WorldNews No death penalty for abortion doctor http://t.co/oXnFj336R9,#worldnews death penalty abortion doctor,can'tsay
22753," UPDATE ON PASTOR PAUL LACANILAO! PASTOR PAUL IS SCHEDULED TO BE DISCHARGED FROM THE HOSPITAL LATER TODAY,... http://t.co/vtDinAQufu",update pastor paul lacanilao pastor paul scheduled discharged hospital,can'tsay
22758, “@FamilyGuy_: Myspace: Died a couple of years ago. Facebook: In the hospital. Twitter: At the club throwing ones at big booty strippers.”,myspace died couple ago facebook hospital twitter club throwing ones booty strippers,can'tsay
22768," a woman is giving child birth. the baby comes out, and the doctor hands it to the mom. a black guy runs in, punches it, and yells WORLDSTAR.",woman giving child birth baby comes doctor hands mom black guy runs punches yells worldstar,can'tsay
22770, #news No death penalty for abortion doctor http://t.co/PuMbaeJcrB,#news death penalty abortion doctor,can'tsay
22786," Can't stand for anyone to touch my knee .. Not even the doctor . place <tweepy.models.Place object at 0x0292CBD0> coordinates {u'type': u'Point', u'coordinates': [-95.59343903, 33.12854671]}",ca stand touch knee doctor,can'tsay
22787, What a dick! My doctor says he probably won't clear me to go to thumb wrestling nationals in July,dick doctor probably wo thumb wrestling nationals july,can'tsay
22799, Been in the hospital since Saturday. Maybe I will have my surgery today,hospital saturday maybe surgery,can'tsay
22801, @SuzieMinnigin and Leanne's feet! If anyone read this IDE be out in a mental hospital! I should go on BGT with stand up comedy oh yeh! X x x,leannes feet read ide mental hospital bgt stand comedy oh yeh,can'tsay
22819, I'm watching Doctor Who (1279 are watching) http://t.co/cjQUHsL3aF #GetGlue @bbcdoctorwho,watching doctor watching #getglue,can'tsay
22826, @droz @drfuhrman I am a great fan as DrOz empowering with medical knowledge.,fan droz empowering medical knowledge,can'tsay
22847, OKAY SO UM DOCTOR WHO AND I I UM I CAN'T CONTINUE BECAUSE I HAVE COLLEGE I UM OKAY,okay um doctor um ca continue college um okay,can'tsay
22849, @Tank_CA @RecordsBook @Know and the doctor is 1207 !,doctor,can'tsay
22854, Has anyone hear about Doctor Who? They've fucked up. Its quiet funny! There's some americans out there that know the name of the doctor as-,hear doctor fucked quiet funny theres americans name doctor,can'tsay
22857," Abortion doctor found guilty of murder of three babies, can face death penalty http://t.co/UUMzNZf3UC",abortion doctor found guilty murder babies death penalty,can'tsay
22858, I wanna go see her at the hospital,wanna hospital,can'tsay
22861, @ivetteruiz_xoxo what hospital are you at? How long are you gonna be there?,hospital gonna,can'tsay
22867, Crying at a episode of doctor who haha it's like 3 years old lol,crying episode doctor haha lol,can'tsay
22868, @daniyellegoff is acting out doctor bob with one rubber glove on ahhahahaha,acting doctor bob rubber glove ahhahahaha,can'tsay
22907, Another #NOLA first - world's first cooking school in a medical school Midnight Menu +1. What The Doctor Ordered:http://t.co/NT3aDTv1wB,#nola worlds cooking school medical school midnight menu doctor orderedhttptcont3adtv1wb,can'tsay
22911, So call the doctor 'cause someone needs to take your temperature you're getting hotter,call doctor cause temperature getting hotter,can'tsay
22917, Doctor Jeckle and Mr Hyde Doctor ______ and Mr Clever Aww yes a feel smart for working that one out,doctor jeckle hyde doctor clever aww feel smart,can'tsay
22920, So I Went To The Hospital n they ran some tests on me,hospital ran tests,can'tsay
22924," @dhillgb lol I will take them as long as I need them, my doctor writes those scripts like it's no big deal. I'm actually surprised by that.",lol doctor writes scripts deal actually surprised,can'tsay
22938, Love the Oklahoma Heart Hospital and their phenomenal staff!,love oklahoma heart hospital phenomenal staff,can'tsay
22966," Listening to @LatedebateRTE new hospital grouping puts Roscommon, Galway &amp; Letterkenny 2gether. That's some area folks.",listening hospital roscommon galway letterkenny thats folks,can'tsay
22971, Doctor Swag http://t.co/ftB53q7BYG,doctor swag,can'tsay
22984, @MauritianMauler he's blogging it saying doctor pulled him out of calzaghe fight haha,hes blogging saying doctor pulled calzaghe fight haha,can'tsay
22991, So call a doctor 'cause someone needs to take your temperature you're getting hotter,call doctor cause temperature getting hotter,can'tsay
23007, @prayziz gal whr cum bk frm psychiatrist hospital last yr august,gal whr cum bk frm psychiatrist hospital yr august,can'tsay
23008, been at this hospital for 5hrs! I'm ready for some Wendy's and a nap!!,hospital ready wendys nap,can'tsay
23021, “@SkyNews: Abortion Doctor: Gosnell Avoids Death Penalty http://t.co/2qcmIOi4rL” dirty shit will pay in prison I am sure.,abortion doctor gosnell avoids death penalty dirty shit pay prison,can'tsay
23022," Okay, well, the  Doctor is a lot more alien and distanced. He doesn't care as much",okay doctor lot alien distanced care,can'tsay
23028, Hospital snap shots http://t.co/0GSDrm0oZW,hospital snap shots,can'tsay
23041, My mum always thinks I'm seriously ill and need to go to hospital. #paranoidparent #totalyfine,mum seriously ill hospital #paranoidparent #totalyfine,can'tsay
23044," i've been chillin in a hospital for the past few days. got no jokes. you'd think it would be a well of material (since \you\"" are a psycho)""",chillin hospital past days jokes youd material psycho,can'tsay
23046," @Gemma_Louise95x it's the last doctor who on Saturday :( place <tweepy.models.Place object at 0x0292CFF0> coordinates {u'type': u'Point', u'coordinates': [-1.28774397, 52.92854452]}",doctor saturday,can'tsay
23052," Doctor \Tit Off\"" definitely didn't get dumped. Aired nicely guys! @danny_balis @corbydavidson @NotJackKemp @theoldgreywolf""",doctor tit definitely dumped aired nicely guys,can'tsay
23065," To all the people making fun of the crash, that was someone's kid who just died.  A kid from out school is in the hospital. So fuck off.",people fun crash someones kid died kid school hospital fuck,can'tsay
23067, off to pick up the little doctor,pick little doctor,can'tsay
23070, @taylorlane2911 I was in the hospital...,hospital,can'tsay
23079," The freaking hospital parking lot &lt;&lt;&lt;&lt;&lt;&lt; #toobig #lost place <tweepy.models.Place object at 0x0292C370> coordinates {u'type': u'Point', u'coordinates': [-78.85422888, 38.4169887]}",freaking hospital parking lot ltltltltltlt #toobig #lost,can'tsay
23082," BREAKING NEWS: CONVICTED PHILADELPHIA ABORTION DOCTOR SPARED DEATH SENTENCE,  - Sent via the FOX News Android App.",breaking news convicted philadelphia abortion doctor spared death sentence sent via fox news android app,can'tsay
23084, @harry_faint does that stand for doctor who?,stand doctor,can'tsay
23095, I really need to go to the doctor ??,doctor,can'tsay
23104, I will never do raw sex. Idc if we 2gether 10 yrs n go to the doctor everyday. It's not I don't trust you I just me more w/ my health.,raw sex idc yrs doctor everyday trust health,can'tsay
23106, Yes the tenth doctor will do nicely,tenth doctor nicely,can'tsay
23123, Awww!  ;-) #HotHotties  MT @LilMuscleBeast Playing doctor with my Daddy @PaulSteeleXXX... @ABuldocek #muscledaddy http://t.co/EDiCAJWJQc,awww #hothotties mt playing doctor daddy #muscledaddy,can'tsay
23124," \crawfish are the Aeropostale of shellfish\"" -my brother as he lies in a hospital bed with food poisoning from crawfish""",crawfish aeropostale shellfish brother lies hospital bed food poisoning crawfish,can'tsay
23133, @jamieab1  sorry I missed you today..I was with sis over nite at hospital..things are fine now..hope you are okay,sorry missed todayi sis nite hospitalthings fine nowhope okay,can'tsay
23135, Back home from the hospital finally,home hospital finally,can'tsay
23169, No death penalty for abortion doctor http://t.co/lKBSTGIIiD,death penalty abortion doctor,can'tsay
23174, I'm watching Doctor Who (1278 are watching) http://t.co/WPkdeT5AoN #GetGlue @bbcdoctorwho,watching doctor watching #getglue,can'tsay
23186, I'm watching Doctor Who (1278 are watching) http://t.co/JT7kFhIDvg #GetGlue @bbcdoctorwho,watching doctor watching #getglue,can'tsay
23190, Doctor's testing methods under fire at Santa Rosa killer's sanity trial | http://t.co/mUttu29Ei2 http://t.co/x7mFmKgUnS,doctors testing methods fire santa rosa killers sanity trial,can'tsay
23209, No death penalty for Philadelphia abortion doctor in deal with prosecutors http://t.co/5EveEOeND7,death penalty philadelphia abortion doctor deal prosecutors,can'tsay
23210, Blog Post:  No death penalty for Philadelphia abortion doctor in deal with prosecutors http://t.co/E3K8AkupwZ,blog post death penalty philadelphia abortion doctor deal prosecutors,can'tsay
23211, No death penalty for Philadelphia abortion doctor in deal with prosecutors http://t.co/MgeDavMwWO,death penalty philadelphia abortion doctor deal prosecutors,can'tsay
23212, No death penalty for Philadelphia abortion doctor in deal with prosecutors http://t.co/kJR4lJk3J0,death penalty philadelphia abortion doctor deal prosecutors,can'tsay
23213, No death penalty for Philadelphia abortion doctor in deal with prosecutors http://t.co/h4zEe82GkX,death penalty philadelphia abortion doctor deal prosecutors,can'tsay
23215, No death penalty for Philadelphia abortion doctor in deal with prosecutors http://t.co/1UManvZIUf,death penalty philadelphia abortion doctor deal prosecutors,can'tsay
23216, No death penalty for Philadelphia abortion doctor in deal with prosecutors http://t.co/yvNQqRtGXE,death penalty philadelphia abortion doctor deal prosecutors,can'tsay
23217, @TheRealFTA @MsDBZbabe My doctor says that a lot as does my partner,doctor lot partner,can'tsay
23218, No death penalty for Philadelphia abortion doctor in deal with prosecutors http://t.co/qPIexLlUjG,death penalty philadelphia abortion doctor deal prosecutors,can'tsay
23219, Blog: No death penalty for Philadelphia abortion doctor in deal with prosecutors http://t.co/9uNd66vG1x,blog death penalty philadelphia abortion doctor deal prosecutors,can'tsay
23220, No death penalty for Philadelphia abortion doctor in deal with prosecutors http://t.co/7COsfLZoHD,death penalty philadelphia abortion doctor deal prosecutors,can'tsay
23221, (Blog)  No death penalty for Philadelphia abortion doctor in deal with prosecutors http://t.co/afZPCFhwXR,blog death penalty philadelphia abortion doctor deal prosecutors,can'tsay
23222, No death penalty for Philadelphia abortion doctor in deal with prosecutors http://t.co/O2JAJYv8S5,death penalty philadelphia abortion doctor deal prosecutors,can'tsay
