tweets,tweets,
 Lick those teeth #ink #inked #inkedup #tat #tats #tattoo #tattoos #tattooed #teeth #lick http://t.co/xViH4Qs5B3,"lick,teeth,#ink,#inked,#inkedup,#tat,#tats,#tattoo,#tattoos,#tattooed,#teeth,#lick",can'tsay
 Let the beach festivities begin. #3weeks #seniors,"beach,festivities,begin,#3weeks,#seniors",can'tsay
 Learn about the ways to improve cardiorespiratory endurance: http://t.co/GLRyIH3MJh #PhysicalTherapy #RespiratoryTherapy,"learn,improve,cardiorespiratory,endurance,#physicaltherapy,#respiratorytherapy",can'tsay
 Learn about the exciting career opportunities with Centra: http://t.co/HClAVVut05 #OTpeeps #OccupationalTherapy,"learn,exciting,career,opportunities,centra,#otpeeps,#occupationaltherapy",can'tsay
" LBSA banquet with my baby mrallye?? #seniors #lbsa #memories @ Lucca's Pasta Bar http://t.co/NJVjlMgphM place <tweepy.models.Place object at 0x01D743D0> coordinates {u'type': u'Point', u'coordinates': [-117.33048414, 34.17497136]}","lbsa,banquet,baby,mrallye,#seniors,#lbsa,#memories,lucca,pasta,bar,type",can'tsay
 Last in the series on shoulder #PToutcomes. Processes w/i the system important: http://t.co/1HoqFBIiTB,"series,shoulder,#ptoutcomes,processes,system",can'tsay
 lasix #Pills #pharmacy #health http://t.co/L1cUDC6Y12,"lasix,#pills,#pharmacy,#health",can'tsay
 Largest genetic sequencing study of human disease: http://t.co/K9Zjo55aUq #nurses #nursng #health #diseases #DNA #genes,"largest,genetic,sequencing,study,human,disease,#nurses,#nursng,#health,#diseases,#dna,#genes",can'tsay
" Knee pain decreases up to one year after \prolotherapy\"" Find out what it is: http://t.co/MLbb10cSRN #PhysicalTherapy #OTpeeps""","knee,pain,decreases,prolotherapy,#physicaltherapy,#otpeeps",can'tsay
 Kimberly Kane gets fucked and a big facial cumshot: Kimberly Kane Kimberly Kane Facial http://t.co/wKO7RvaZgx #medicine #drugs,"kimberly,kane,fucked,facial,cumshot,kimberly,kane,kimberly,kane,facial,#medicine,#drugs",can'tsay
" Kids living in a fast paced 'hook up' culture, how does this impact their #mHealth? http://t.co/Ui8U9k9EYr","kids,living,fast,paced,hook,culture,impact,#mhealth",can'tsay
" Key reading for #CCGs: Consultation open on Monitor guidance for procurement, competition and #patient choice: http://t.co/BmefMuYiWZ","key,reading,#ccgs,consultation,monitor,guidance,procurement,competition,#patient,choice",can'tsay
" Just seen my mums arm. Life changing injury because of a lazy, couldnt be bothered nurse. Legal advice would be much appreciated #nhs","seen,mums,arm,life,changing,injury,lazy,couldnt,bothered,nurse,legal,advice,appreciated,#nhs",can'tsay
" Just hanging out, trying to suck on her kneecap. #baby #girl #belle #cutie #weirdo #ultrasound #23weeks http://t.co/2yPsDLmzqh","hanging,trying,suck,kneecap,#baby,#girl,#belle,#cutie,#weirdo,#ultrasound,#23weeks",can'tsay
 Just had a waxa physio sesh #ultrasound,"waxa,physio,sesh,#ultrasound",can'tsay
" Just gone off the stage, and I need your voice! In a couple of minutes, we'll ask you to text F to 868464 #mhealth http://t.co/XPgBl4KxJV","gone,stage,voice,couple,minutes,#mhealth",can'tsay
" Jury foreman says life or death decision unfair: In the Jodi Arias trial, the jurors faced a decision... http://t.co/yCV54yaC8B #seniors","jury,foreman,life,death,decision,unfair,jodi,arias,trial,jurors,faced,decision,#seniors",can'tsay
" June and July are gonna be a massive couple of months! frequency this week, stone roses the next and 'melt' in July! Praying for sun! #rehab","june,july,gonna,massive,couple,months,frequency,week,stone,roses,amelt,july,praying,sun,#rehab",can'tsay
 Join one of the top #healthcare systems in the southeast: http://t.co/8Ggsy4Jfuc #OTpeeps #OccupationalTherapy,"join,top,#healthcare,systems,southeast,#otpeeps,#occupationaltherapy",can'tsay
 I've literally have listened to 22 by @taylorswift on repeat for the past 45 minutes. I'm addicted and need help #rehab,"literally,listened,repeat,past,minutes,addicted,help,#rehab",can'tsay
 I've been #watching #psych for the past couple of #hours!,"#watching,#psych,past,couple,#hours",can'tsay
 It's official! Dream come true #physicaltherapy #classof2016 http://t.co/mNp7HsveIY,"official,dream,true,#physicaltherapy,#classof2016",can'tsay
 Is this any good etc?   #nutrition  http://t.co/2lYy7BdZvz,"etc,#nutrition",can'tsay
 Is organic really better? http://t.co/SHnSf2kc3w #organic #nonorganic #food #health #nutrition #certifiedorganic #organicfood,"organic,#organic,#nonorganic,#food,#health,#nutrition,#certifiedorganic,#organicfood",can'tsay
 iRobot #spine #surgery #stemcell #osteocell #graft #bone #transplant #ouch #instrumentation http://t.co/DlmXRA2M50,"irobot,#spine,#surgery,#stemcell,#osteocell,#graft,#bone,#transplant,#ouch,#instrumentation",can'tsay
 IRAS (integrated research application system) is slowly killing me &amp; am only doing an #NHS service audit. I will not let it beat me!,"iras,integrated,research,application,system,slowly,killing,#nhs,service,audit,beat",can'tsay
 Inverse Care Law = those  who least need care get most &amp; those who most need care get least. Just another private healthcare obscenity #NHS place <tweepy.models.Place object at 0x01D82E70>,"inverse,care,law,care,care,private,healthcare,obscenity,#nhs",can'tsay
 Interview with @pknoepfler on recent #stemcell discoveries: http://t.co/UoxydNO9Cv Learn more in his upcoming #book: http://t.co/alTpIcF5Zw,"interview,recent,#stemcell,discoveries,learn,upcoming,#book",can'tsay
 Integration of Metabolic and Gene Regulatory Networks Modulates the C. elegans Dietary Response http://t.co/ceAZogSLrU #genomics  #nutrition,"integration,metabolic,gene,regulatory,networks,modulates,elegans,dietary,response,#genomics,#nutrition",can'tsay
" Inside Solitary Confinement. An #iview doc about a broken system, #mentalhealth and #isolation.  http://t.co/Ble8RJWmox","inside,solitary,confinement,#iview,doc,broken,system,#mentalhealth,#isolation",can'tsay
 Inhale deep and then release your stress slowly #therapy,"inhale,deep,release,stress,slowly,#therapy",can'tsay
" In PH we rely on authority to give PH advice. Is this benefit being weakened by scandals in police, NHS, parliament etc? #publichealth","ph,rely,authority,ph,advice,benefit,weakened,scandals,police,nhs,parliament,etc,#publichealth",can'tsay
 In Memorium: American Medical Authority http://t.co/Ild64OIc2J #medicine #health #patientslikeme #quantifiedself,"memorium,american,medical,authority,#medicine,#health,#patientslikeme,#quantifiedself",can'tsay
" In #Oriental #medicine, the digestive system &amp; mind are considered front and back. They are one system. http://t.co/QAFzmDjWbB","#oriental,#medicine,digestive,system,mind,considered,front,system",can'tsay
 Impact of pay for performance on inequalities in health care: systematic review http://t.co/YWEtYw3spP @riyadhonline #PrimaryCare,"impact,pay,performance,inequalities,health,care,systematic,review,#primarycare",can'tsay
 Immune Protect with Paractin - Clinically Shown to Boost the Immune System http://t.co/ydouHK8ucA #nutrition,"immune,protect,paractin,clinically,shown,boost,immune,system,#nutrition",can'tsay
 Immune Protect with Paractin - Clinically Shown to Boost the Immune System http://t.co/c4BLqghqsh #nutrition,"immune,protect,paractin,clinically,shown,boost,immune,system,#nutrition",can'tsay
 I'm SO excited for Friday now! #seniors,"excited,friday,#seniors",can'tsay
 I'm doing my exercises and getting better thanks to @wellpepper #physicaltherapy,"exercises,getting,thanks,#physicaltherapy",can'tsay
" If you need to talk, I will pretend to listen. #psychiatrist","talk,pretend,listen,#psychiatrist",can'tsay
 I won like five minutes ago.... #sorry #psychology http://t.co/TEpkKVr07C,"won,five,minutes,ago,#sorry,#psychology",can'tsay
" I was born to be a #PhysicianAssistant! We have PA DNA, hardwired to care for patients says DCAPA's Howard Straker. #PAsTakeDC","born,#physicianassistant,pa,dna,hardwired,care,patients,dcapa,howard,straker,#pastakedc",can'tsay
 I want a good man. In time he will come.. #Patient,"time,#patient",can'tsay
 I told jake 2 months ago that Adam ferrera was leaving top gear. He actually believed me. #psych #trickedhim,"told,jake,months,ago,adam,ferrera,leaving,top,gear,actually,believed,#psych,#trickedhim",can'tsay
 I take care of my #spine and nervous system. #Chiropractic #Affirmations  http://t.co/hb2M4Skbgp,"care,#spine,nervous,system,#chiropractic,#affirmations",can'tsay
 I really need my medical card. #stressed #legal #notsohigh #medical,"medical,card,#stressed,#legal,#notsohigh,#medical",can'tsay
 I really need my medical card. #stressed #legal #notsohigh #medical,"medical,card,#stressed,#legal,#notsohigh,#medical",can'tsay
 I met them just weeks ago but it feels like we've been friends forever. &lt;3 #fortune #pharmacy #duty,"met,weeks,ago,feels,friends,forever,lt,#fortune,#pharmacy,#duty",can'tsay
 I love Elon. #longliveelon #graduation #seniors #congrats,"love,elon,#longliveelon,#graduation,#seniors,#congrats",can'tsay
 I love all of you guys ?? #seniors http://t.co/BLoCZq6NCb,"love,guys,#seniors",can'tsay
" I lied, the roles of the sympathetic adreno medullary system and pituitary adrenal system are so confusing #psychology","lied,roles,sympathetic,adreno,medullary,system,pituitary,adrenal,system,confusing,#psychology",can'tsay
 I hope everyone had a safe and good weekend:) #physicaltherapy #orthopaedic #rehabilitation #sportsmedicine #woodlandhills,"hope,safe,weekend,#physicaltherapy,#orthopaedic,#rehabilitation,#sportsmedicine,#woodlandhills",can'tsay
 I have pee'd 6 times in the past 10 minutes..... #sickkidprobz #medicine #tea #water #piss :p,"pee,times,past,minutes,#sickkidprobz,#medicine,#tea,#water,#piss",can'tsay
 I feel weird about writing this report. it feels oddly personal. #feelingweird #mentalhealth,"feel,weird,writing,report,feels,oddly,personal,#feelingweird,#mentalhealth",can'tsay
 I can hear the babies little ? beating awww #ultrasound #friend #baby http://t.co/6n4faH6u4v,"hear,babies,little,beating,awww,#ultrasound,#friend,#baby",can'tsay
 I am throwing an #mhealth rant during a TEC talk at #eHealth13,"throwing,#mhealth,rant,tec,talk,#ehealth13",can'tsay
 Human Security -- A New Response to Complex Threats #sdoh  http://t.co/tpkof8sbVW,"human,security,response,complex,threats,#sdoh",can'tsay
" http://t.co/Smi3TxyXZZ #Coca-Cola Sign w/ #Nurse, 31942 by Ruby + George on @OneKingsLane #wwii #1940s #cokesign #vintagecollectibles #coke","#coca,cola,sign,#nurse,ruby,george,#wwii,#1940s,#cokesign,#vintagecollectibles,#coke",can'tsay
 http://t.co/nnVnbCioZ7 #Ultrasound #Images #HumanBody #Medicine #Echoes #SoftTissue #Bones #Organs #Fluid #Pulses #Kidneys #Stomach #Brain,"#ultrasound,#images,#humanbody,#medicine,#echoes,#softtissue,#bones,#organs,#fluid,#pulses,#kidneys,#stomach,#brain",can'tsay
 http://t.co/nnVnbCioZ7 #Ultrasound #Images #HumanBody #Medicine #Echoes #SoftTissue #Bones #Organs #Fluid #Pulses #Kidneys #Stomach #Brain,"#ultrasound,#images,#humanbody,#medicine,#echoes,#softtissue,#bones,#organs,#fluid,#pulses,#kidneys,#stomach,#brain",can'tsay
 http://t.co/NljxiFrGcR #Intellectual #Property #Medical #Professional INTELLECTUAL PROPERTY FOR THE MEDICAL PROFESSIONAL,"#intellectual,#property,#medical,#professional,intellectual,property,medical,professional",can'tsay
 http://t.co/FVY2BpHCTg Gurunath Meiyappan arrested in IPL betting case http://t.co/EdYNeSvcVn #nurse #datacenter #asia #biztips #woolwich,"gurunath,meiyappan,arrested,ipl,betting,#nurse,#datacenter,#asia,#biztips,#woolwich",can'tsay
" http://t.co/8T7E6uYNdf #Occupational #Therapy #Performance Occupational Therapy: Performance, Participation, and Well-Being","#occupational,#therapy,#performance,occupational,therapy,performance,participation",can'tsay
 http://t.co/3o1ruaMuUQ Blog Update! Talking #physicaltherapy with Dr. Ben Fung! #bizPT http://t.co/IESyELWTG2,"blog,update,talking,#physicaltherapy,dr,ben,fung,#bizpt",can'tsay
 http://t.co/3o1ruaMuUQ Blog Update! Talking #physicaltherapy with Dr. Ben Fung! #bizPT,"blog,update,talking,#physicaltherapy,dr,ben,fung,#bizpt",can'tsay
 http://t.co/1KoXUtMFJj #Human #Nutrition #Spirulina Spirulina in Human Nutrition and Health,"#human,#nutrition,#spirulina,spirulina,human,nutrition,health",can'tsay
 How to Know the Cause of #Thyroid #Disease and its Treatment http://t.co/iSz77cGqCJ,"cause,#thyroid,#disease,treatment",can'tsay
 How to keep up?New name for novel #coronavirus is Middle East #respiratory syndrome coronavirus (MERS-CoV)  -http://t.co/kbJW0evbss,"name,novel,#coronavirus,middle,east,#respiratory,syndrome,coronavirus,mers,cov,kbjw0evbss",can'tsay
 How To Detect #Breast Cancer Early http://t.co/FO3zXWgYtP #Mammograms,"detect,#breast,cancer,#mammograms",can'tsay
 How to choose the right senior day care center http://t.co/CRw44tEN2z #senior-day care,"choose,senior,day,care,center,#senior,day,care",can'tsay
 How the Greatest Generation makes health care decisions #hcmktg #seniors http://t.co/UbMwGTYKQd,"generation,makes,health,care,decisions,#hcmktg,#seniors",can'tsay
 How the Greatest Generation makes health care decisions #hcmktg #seniors http://t.co/Nhldg4EQAt,"generation,makes,health,care,decisions,#hcmktg,#seniors",can'tsay
 How is servant leadership essential to #OccupationalTherapy? http://t.co/7TOZanzGhv #OTpeeps,"servant,leadership,essential,#occupationaltherapy,#otpeeps",can'tsay
" Hospitals profting from bloodstream infections, could there be a better metaphor for a broken system? http://t.co/tjq7qJNMbd #singlepayer","hospitals,profting,bloodstream,infections,metaphor,broken,system,#singlepayer",can'tsay
 Homeopathic Vibes Now Open Late on Wednesdays - PR Web (press release) http://t.co/d4PYlr7gho #medicine,"homeopathic,vibes,late,wednesdays,pr,web,press,release,#medicine",can'tsay
 Holy crap! Our program saw a lot of patients this past weekend. I bet we r past our goal number! #cpep #mentalhealth,"holy,crap,program,lot,patients,past,weekend,bet,past,goal,#cpep,#mentalhealth",can'tsay
 Hiring a Director Outpatient Services - Behavioral Health Opportunity Job: General Health Servi... http://t.co/PkswA8sZuB #nursing #jobs,"hiring,director,outpatient,services,behavioral,health,opportunity,job,health,servi,#nursing,#jobs",can'tsay
 Hill's Pet Nutrition's Disaster Relief Network Sends Needed Pet Food and ... - PR Newswire (press r... http://t.co/s4qAg7qUVb #nutrition,"hill,pet,nutrition,disaster,relief,network,sends,pet,food,pr,newswire,press,#nutrition",can'tsay
 Here's the little fella! :D measuring at 13 weeks even. #thumbsup #ultrasound #BabyOrrNumber2… http://t.co/B4YFC5vSFZ,"little,fella,measuring,weeks,#thumbsup,#ultrasound,#babyorrnumber2…",can'tsay
 Here it is: http://t.co/BDxJHHfOZv #StickMan #StickMan #StickMan #StickMan #Stickman #MentalHealth #StickMan #Stckman #StickMan #RT,"#stickman,#stickman,#stickman,#stickman,#stickman,#mentalhealth,#stickman,#stckman,#stickman,#",can'tsay
 Helping With Stress Mgmt. Free Downloads http://t.co/sRkG7SD8a8 #milhealth,"helping,stress,mgmt,free,downloads,#milhealth",can'tsay
 Help @HavasPR client @GoutEducation #TakeAStandOnGout. Visit new info kits for #patients &amp; #medical pros http://t.co/l3S7ccKTG1. #GAD2013,"help,client,#takeastandongout,visit,info,kits,#patients,#medical,pros,#gad2013",can'tsay
 Health Insurance Marketplace &amp; Women's Health {Video} http://t.co/aBMUvRxKfG #Caregivers #Patients #WomenHealth,"health,insurance,marketplace,women,health,video,#caregivers,#patients,#womenhealth",can'tsay
 He was kicking mommy during the ultrasound #baby #ultrasound #kick #love @Stevies4life http://t.co/7g3IipXSVa,"kicking,mommy,ultrasound,#baby,#ultrasound,#kick,#love",can'tsay
" Having an MRI scan in a couple of weeks, worried is an understatement. #mri #brain","mri,scan,couple,weeks,worried,understatement,#mri,#brain",can'tsay
 Have a safe holiday weekend to all!  #physicaltherapy #PhysioPT,"safe,holiday,weekend,#physicaltherapy,#physiopt",can'tsay
 Have a resource that should be included in the new #womenshealth #physicaltherapy resource directory? #pelvicmafia http://t.co/i8DM0CKIVM,"resource,included,#womenshealth,#physicaltherapy,resource,directory,#pelvicmafia",can'tsay
 Have a canker sore?  This could remove it in just 4 minutes - and keep it from returning. http://t.co/fgl41EB7Ty #orthodontics,"canker,sore,remove,minutes,returning,#orthodontics",can'tsay
 Happening NOW @CTIAShows -  @AnthonyShimkin session on #wirelesshealth business models in the Sands Expo - Bellini 2104-2105 #CTIA13,"happening,session,#wirelesshealth,business,sands,expo,bellini,#ctia13",can'tsay
 Hand splints that look like jewellery - suspect my 8yo wld love when a bit older #disabilityglam #occupationaltherapy http://t.co/fbKULt4Iqb,"hand,splints,look,jewellery,suspect,wld,love,bit,#disabilityglam,#occupationaltherapy",can'tsay
" Great example of #mhealth for #globalhealth | Improving Maternal Health Care, One Text At A Time http://t.co/wmAmXZBRrg @SharonDAgostino","example,#mhealth,#globalhealth,improving,maternal,health,care,time",can'tsay
 Graduation time! #Seniors #2013,"graduation,time,#seniors,#2013",can'tsay
 Graduation cake.... #senior #2k13 #army http://t.co/kzdtuyClPL,"graduation,cake,#senior,#2k13,#army",can'tsay
 Got an annoying niggle? Beware of the never treated ankle sprain you had years ago! #movement #rehab,"annoying,niggle,beware,treated,ankle,sprain,ago,#movement,#rehab",can'tsay
 Got a little off track the past couple months but now I am back and ready to roll! #medschool #applicationseason,"little,track,past,couple,months,ready,roll,#medschool,#applicationseason",can'tsay
 Got a doctor's appointment for my knee in an hour! #PhysicalTherapy,"doctor,appointment,knee,hour,#physicaltherapy",can'tsay
 Gorgeous Saturday! Heading to the #Rays game?! Stop into @RehabExchange on the way to the #Trop! #Rehab #Boutique http://t.co/EXvJEwBGHH,"gorgeous,saturday,heading,#rays,game,stop,#trop,#rehab,#boutique",can'tsay
 Good News: On that #Senior status! ;D Tomorrow we head to #Tulsa #airport then to #Dallas airport the… http://t.co/9LZQjMgfcs,"news,#senior,tomorrow,head,#tulsa,#airport,#dallas,airport,…",can'tsay
 Gonna miss them.. #sayinggoodbye #graduation #seniors  2013 http://t.co/HIBLZJvSS6,"gonna,miss,#sayinggoodbye,#graduation,#seniors",can'tsay
" Going tuxedo shopping with my baby today ? #prom2013 #seniors place <tweepy.models.Place object at 0x01D82F90> coordinates {u'type': u'Point', u'coordinates': [-73.84460697, 40.95198843]}","tuxedo,shopping,baby,#prom2013,#seniors,type",can'tsay
 Glutamine at Bedtime - Growth Hormone Releaser and Mental Performance Enhancer http://t.co/eilnX6ZPIo #nutrition,"glutamine,bedtime,growth,hormone,releaser,mental,performance,enhancer,#nutrition",can'tsay
 Glutamine at Bedtime - Growth Hormone Releaser and Mental Performance Enhancer http://t.co/2zO1hy9SH7 #nutrition,"glutamine,bedtime,growth,hormone,releaser,mental,performance,enhancer,#nutrition",can'tsay
 getting swoll #physicaltherapy #2pounds,"getting,swoll,#physicaltherapy,#2pounds",can'tsay
 Gd night :) #slp,"gd,night,#slp",can'tsay
 Ga. #physician pursued private practice after leaving Army 18 years ago; now he's going back. http://t.co/lMWXV0oSk5 (@dvidshub),"ga,#physician,pursued,private,practice,leaving,army,ago",can'tsay
" From the Archives: : Snow, Surgery... http://t.co/CK8B73rq6b #Atlanta #Blog #Daddy #Eyes #Family #Holidays #Medical #Mommy #Strabismus","archives,snow,surgery,#atlanta,#blog,#daddy,#eyes,#family,#holidays,#medical,#mommy,#strabismus",can'tsay
 Found to Increase Detoxifying Enzymes and Promote Healthy DNA Function http://t.co/QTb2vY8k4f #nutrition,"found,increase,detoxifying,enzymes,promote,healthy,dna,function,#nutrition",can'tsay
 Found to Increase Detoxifying Enzymes and Promote Healthy DNA Function http://t.co/KE7UXJxOR3 #nutrition,"found,increase,detoxifying,enzymes,promote,healthy,dna,function,#nutrition",can'tsay
 Foetal stem cell therapy improves spinal function - http://t.co/XlJugSIBKB coverage by @zeenews #medicine #health,"foetal,stem,cell,therapy,improves,spinal,function,coverage,#medicine,#health",can'tsay
 First game homer. Bang bang #Seniors #Mets,"game,homer,bang,bang,#seniors,#mets",can'tsay
 Find out why it is better to #exercise on an empty stomach.  Read more #health #nutrition - http://t.co/0lwyWMaylV,"#exercise,empty,stomach,read,#health,#nutrition",can'tsay
 Females always come 2 me for advice #therapist #councelor,"females,advice,#therapist,#councelor",can'tsay
 Feeling so thankful for all the friends I've met in the past couple months ? #EDSers #spoonies #lifelongfriends,"feeling,thankful,friends,met,past,couple,months,#edsers,#spoonies,#lifelongfriends",can'tsay
 Fat Nats Eggs at 10:30 ! #seniors,"fat,nats,eggs,#seniors",can'tsay
 Failing of balance test-bipedal stance on foam w/eyes closed+dec health&amp;activity=potential fallers http://t.co/rTqt39f90c #physicaltherapy,"failing,balance,test,bipedal,stance,foam,eyes,closed,dec,health,activity,potential,fallers,#physicaltherapy",can'tsay
 Excited to open the newest location today of SERC Physical &amp; Hand Therapy in #PleasantHill #physicaltherapy Can't wait to see my first pt!,"excited,location,serc,physical,hand,therapy,#pleasanthill,#physicaltherapy,wait,pt",can'tsay
 Everything is ending and I'm starting to not like it :( #seniors,"starting,#seniors",can'tsay
 Every now and then a jewel of awesomeness comes up on my Twitter feed. Thank you #neuroscience for your press release regarding #copper!,"jewel,awesomeness,comes,twitter,feed,thank,#neuroscience,press,release,regarding,#copper",can'tsay
 ENDS TONIGHT! #Win a $25 Bluerane GC @JRFrugalMom @Bluerane3 is a #maternity #nursing &amp; #baby boutique #giveaway http://t.co/4COc7ke7R3,"tonight,#win,bluerane,gc,#maternity,#nursing,#baby,boutique,#giveaway",can'tsay
" Employers may have #PPACA knowledge, but do they have the wisdom to make the right decision? #HCR - http://t.co/yH8m88IpB9","employers,#ppaca,knowledge,wisdom,decision,#hcr",can'tsay
" Employers may have #PPACA knowledge, but do they have the wisdom to make the right decision? #HCR - http://t.co/xgq9PBDiUF","employers,#ppaca,knowledge,wisdom,decision,#hcr",can'tsay
" Employers may have #PPACA knowledge, but do they have the wisdom to make the right decision? #HCR - http://t.co/WVJxyceTjD","employers,#ppaca,knowledge,wisdom,decision,#hcr",can'tsay
" Employers may have #PPACA knowledge, but do they have the wisdom to make the right decision? #HCR - http://t.co/QJSaJcXx5P","employers,#ppaca,knowledge,wisdom,decision,#hcr",can'tsay
" Employers may have #PPACA knowledge, but do they have the wisdom to make the right decision? #HCR - http://t.co/L9niIYzPfx","employers,#ppaca,knowledge,wisdom,decision,#hcr",can'tsay
" Employers may have #PPACA knowledge, but do they have the wisdom to make the right decision? #HCR - http://t.co/jHioOHJfYb","employers,#ppaca,knowledge,wisdom,decision,#hcr",can'tsay
" Employers may have #PPACA knowledge, but do they have the wisdom to make the right decision? #HCR - http://t.co/ImUfeaaVBD","employers,#ppaca,knowledge,wisdom,decision,#hcr",can'tsay
" Employers may have #PPACA knowledge, but do they have the wisdom to make the right decision? #HCR - http://t.co/gZgMYrz2b9","employers,#ppaca,knowledge,wisdom,decision,#hcr",can'tsay
 Elderly patients will get personal #NHS worker to coordinate health #care http://t.co/FTWOAWv4vZ,"elderly,patients,personal,#nhs,worker,coordinate,health,#care",can'tsay
 Echinacea and its Influence on the Immune System = Anti-viral Benefits http://t.co/ukeO85JJmL #nutrition,"echinacea,influence,immune,system,anti,viral,benefits,#nutrition",can'tsay
 Echinacea and its Influence on the Immune System = Anti-viral Benefits http://t.co/IClOAP0yYl #nutrition,"echinacea,influence,immune,system,anti,viral,benefits,#nutrition",can'tsay
" East Anglians are more stressed than Londoners, 36% feel stressed at least 1x per wk compared w/Ldn 30% #MentalHealth #VikingStressStudy","east,anglians,stressed,londoners,feel,stressed,wk,compared,ldn,#mentalhealth,#vikingstressstudy",can'tsay
 DSM-V is Mind Boggling. Can't keep everyone happy. Human minds are too complex? http://t.co/OHVUPq14NX #psychiatry,"dsm,mind,boggling,happy,human,minds,complex,#psychiatry",can'tsay
 Drs. Dave &amp; Dee: Human Growth Hormone and Anti-Aging http://t.co/QnUPpIeNoH #health #wellness #senior #aging,"drs,dave,dee,human,growth,hormone,anti,aging,#health,#wellness,#senior,#aging",can'tsay
 Drs. Dave &amp; Dee: Human Growth Hormone and Anti-Aging http://t.co/QnUPpIeNoH #health #wellness #senior #aging,"drs,dave,dee,human,growth,hormone,anti,aging,#health,#wellness,#senior,#aging",can'tsay
 Drinking half a gallon of water every day can help you loose wait. #health #nutrition #fact,"drinking,half,gallon,water,day,help,loose,wait,#health,#nutrition,#",can'tsay
 Dr. Sigsbee in DC meeting with Rep. Paul Ryan R-WI. Discussed CMS cuts of NCS/EMG. @aanmember #neurology http://t.co/qGLkmtxUqJ,"dr,sigsbee,dc,meeting,rep,paul,ryan,wi,discussed,cms,cuts,ncs,emg,#neurology",can'tsay
 Dr. Levinson shares when #grief becomes problematic and when you may need to seek #professional #help http://t.co/6UlFONSCwf #therapy,"dr,levinson,shares,#grief,problematic,seek,#professional,#help,#therapy",can'tsay
 Double banging on the ultrasound today. #ultrasound #ut #inspection #olympus #steel #work http://t.co/0ihYpgEFax,"double,banging,ultrasound,#ultrasound,#ut,#inspection,#olympus,#steel,#",can'tsay
 Done! #senior #class2013 #seniorchecklist #graduating http://t.co/EFSVfIZK4G,"#senior,#class2013,#seniorchecklist,#graduating",can'tsay
 Don’t let #Medicare dictate your #medical Care.  Talk to Kappel &amp; Apple http://t.co/Bk0nuWZgl5 @_JohnCurry_,"don’,#medicare,dictate,#medical,care,talk,kappel,apple,johncurry",can'tsay
 Do you want to learn more about #vascular #ultrasound? Vascular Big Day Out. http://t.co/PtPjbjvTYB Register now! #sonographers,"learn,#vascular,#ultrasound,vascular,day,register,#sonographers",can'tsay
 Do all your therapy co-workers like you? Maybe not! Here are 25 reasons why: http://t.co/vblSVF7r2C #PhysicalTherapy #OTPeeps,"therapy,workers,maybe,reasons,#physicaltherapy,#otpeeps",can'tsay
 Diabetes is caused by free radical damage. High quality food will strengthen your immune system. #seniors http://t.co/F9KfW0NQxP,"diabetes,caused,free,radical,damage,quality,food,strengthen,immune,system,#seniors",can'tsay
 Detailed Fact Sheets about the HealthRights of Young Ppl in the Care System #ChildWelfare #YouthJustice #MentalHealth http://t.co/Ej1De2e7W0,"detailed,sheets,healthrights,ppl,care,system,#childwelfare,#youthjustice,#mentalhealth",can'tsay
" Deciding what treatment is right for you: Degree of bother, goal of treatment #UCLAMDChat","deciding,treatment,degree,bother,goal,treatment,#uclamdchat",can'tsay
" Dear @Oprah This w/e Kellen Surette is undergoing a #stemcell transplant. He's 7 &amp; from #GlaceBay, NS. http://t.co/WvldCQ5yLM #aRTwouldROCK","dear,kellen,surette,undergoing,#stemcell,transplant,#glacebay,ns,#artwouldrock",can'tsay
 Dear #NHS .... THANK YOU! X     #HammersmithHospital,"dear,#nhs,thank,#hammersmithhospital",can'tsay
 Day 20 of 25: Compounding of Vit. B Complex Day 2. 5 days to go. #intern #manufacturing #pharmacy #fb,"day,compounding,vit,complex,day,days,#intern,#manufacturing,#pharmacy,#fb",can'tsay
 Day 19 of 25: Compounding of Vit. B Complex. Nakakangalay sa braso ang pag-sieve. :( 6 days to go. #intern #manufacturing #pharmacy #fb,"day,compounding,vit,complex,nakakangalay,sa,braso,ang,pag,sieve,days,#intern,#manufacturing,#pharmacy,#fb",can'tsay
 Day (+8) Memo: Run down on transplant process with 'Engrafmemt' in particular: http://t.co/0uVSfDddjj #StemCell #Lymphoma,"day,memo,run,transplant,process,engrafmemt,particular,#stemcell,#lymphoma",can'tsay
" Daily Nursing Jobs: Staff Nurse II PreOp\PACU Brenham Hospital, Brenham TX, Scott and White Healthcare http://t.co/gzrz4wQHO2 #jobs, #nurse","daily,nursing,jobs,staff,nurse,ii,preop,pacu,brenham,hospital,brenham,tx,scott,white,healthcare,#jobs,#nurse",can'tsay
 Dad and I are wearing matching flannels #Mhm,"dad,wearing,matching,flannels,#mhm",can'tsay
" Critical care patients have major health and financial problems 12 months after discharge,... http://t.co/N91eGx14j1 #Medical #Journals","critical,care,patients,major,health,financial,months,discharge,#medical,#journals",can'tsay
 Coolin wit the bros at Santa Fe #gainesville #seniors #santafe http://t.co/flIsxRLSzJ,"coolin,wit,bros,santa,fe,#gainesville,#seniors,#santafe",can'tsay
" Contrast, Alignment, Repetition, Proximity: the basics of visual #design that promote #ptsafety through #patientguard http://t.co/6mUarK8dhD","contrast,alignment,repetition,proximity,basics,visual,#design,promote,#ptsafety,#patientguard",can'tsay
